opponent,location,day,game_status,time_zone,time,quarter,score,points_leader,points,rebounds_leader,rebounds,assists_leader,assists
New Orleans,home game,Tue Oct 22,W,,,OT1,130-122,P. Siakam,34,P. Siakam,18,F. VanVleet,7
Boston,away game,Fri Oct 25,L,,,,106-112,P. Siakam,33,O. Anunoby,8,K. Lowry,7
Chicago,away game,Sat Oct 26,W,,,,108-84,P. Siakam,19,M. Gasol,10,K. Lowry,8
Orlando,home game,Mon Oct 28,W,,,,104-95,K. Lowry,26,M. Gasol,10,K. Lowry,6
Detroit,home game,Wed Oct 30,W,,,,125-113,P. Siakam,30,O. Anunoby,8,F. VanVleet,11
Milwaukee,away game,Sat Nov 02,L,,,,105-115,K. Lowry,36,M. Gasol,12,F. VanVleet,7
Sacramento,home game,Wed Nov 06,W,,,,124-120,K. Lowry,24,P. Siakam,13,K. Lowry,6
New Orleans,away game,Fri Nov 08,W,,,,122-104,P. Siakam,44,P. Siakam,10,F. VanVleet,11
Los Angeles,away game,Sun Nov 10,W,,,,113-104,P. Siakam,24,P. Siakam,11,F. VanVleet,10
LA,away game,Mon Nov 11,L,,,,88-98,P. Siakam,16,P. Siakam,10,F. VanVleet,8
Portland,away game,Wed Nov 13,W,,,,114-106,P. Siakam,36,R. Hollis-Jefferson,11,F. VanVleet,7
Dallas,away game,Sat Nov 16,L,,,,102-110,N. Powell,26,M. Gasol,9,P. Siakam,7
Charlotte,home game,Mon Nov 18,W,,,,132-96,O. Anunoby,24,C. Boucher,11,M. Gasol,9
Orlando,home game,Wed Nov 20,W,,,,113-97,F. VanVleet,24,P. Siakam,11,F. VanVleet,7
Atlanta,away game,Sat Nov 23,W,,,,119-116,P. Siakam,34,R. Hollis-Jefferson,9,F. VanVleet,9
Philadelphia,home game,Mon Nov 25,W,,,,101-96,P. Siakam,25,R. Hollis-Jefferson,10,M. Gasol,9
New York,home game,Wed Nov 27,W,,,,126-98,P. Siakam,31,O. Anunoby,12,T. Davis,5
Orlando,away game,Fri Nov 29,W,,,,90-83,N. Powell,33,P. Siakam,13,P. Siakam,5
Utah,home game,Sun Dec 01,W,,,,130-110,P. Siakam,35,R. Hollis-Jefferson,6,F. VanVleet,11
Miami,home game,Tue Dec 03,L,,,OT1,110-121,N. Powell,23,P. Siakam,12,K. Lowry,11
Houston,home game,Thu Dec 05,L,,,,109-119,P. Siakam,24,P. Siakam,9,K. Lowry,8
Philadelphia,away game,Sun Dec 08,L,,,,104-110,K. Lowry,26,O. Anunoby,10,K. Lowry,5
Chicago,away game,Mon Dec 09,W,,,,93-92,P. Siakam,22,S. Ibaka,14,K. Lowry,7
LA,home game,Wed Dec 11,L,,,,92-112,P. Siakam,24,M. Gasol,11,M. Gasol,6
Brooklyn,home game,Sat Dec 14,W,,,,110-102,P. Siakam,30,M. Gasol,15,K. Lowry,6
Cleveland,home game,Mon Dec 16,W,,,,133-113,P. Siakam,33,O. Anunoby,9,K. Lowry,11
Detroit,away game,Wed Dec 18,W,,,,112-99,P. Siakam,26,S. Ibaka,13,K. Lowry,10
Washington,home game,Fri Dec 20,W,,,,122-118,K. Lowry,26,S. Ibaka,10,K. Lowry,9
Dallas,home game,Sun Dec 22,W,,,,110-107,K. Lowry,32,R. Hollis-Jefferson,9,K. Lowry,10
Indiana,away game,Mon Dec 23,L,,,OT1,115-120,K. Lowry,30,O. Anunoby,12,F. VanVleet,11
Boston,home game,Wed Dec 25,L,,,,102-118,F. VanVleet,27,S. Ibaka,8,K. Lowry,8
Boston,away game,Sat Dec 28,W,,,,113-97,K. Lowry,30,S. Ibaka,10,P. McCaw,8
Oklahoma City,home game,Sun Dec 29,L,,,,97-98,K. Lowry,20,S. Ibaka,14,F. VanVleet,8
Cleveland,home game,Tue Dec 31,W,,,,117-97,K. Lowry,24,S. Ibaka,10,K. Lowry,8
Miami,away game,Thu Jan 02,L,,,,76-84,S. Ibaka,19,O. Anunoby,12,K. Lowry,8
Brooklyn,away game,Sat Jan 04,W,,,,121-102,F. VanVleet,29,S. Ibaka,12,F. VanVleet,11
